label,name_english,name_arabic,category,hardness_moh,luster,streak_color,cleavage,fracture,primary_color,acid_reaction,common_locations,description_for_ai
graphite,Graphite,??????,Mineral,1.0-2, dull/ Metallic,dark gray / black,perfect,uneven,Black / Gray,No,Metamorphic rocks,"??? ???? ????????? ?????? 1.0-2? ?????? ????/????? ????? ????? ????/????? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
gold,Gold,???,Mineral,"2.5,3",Metallic,golden-yelllow,none,Hackly,yellow,no,,"??? ???? ?????? ?????? 2.5-3? ?????? ????? ????? ???? ????? ??? ?? ??????? ?????? ?????? ?? ?????? ?? ??? HCl."
silver,Silver,???,Mineral,2.5-3,Metallic,silvery white,none,Hackly,silver,no,,"??? ???? ?????? ?????? 2.5-3? ?????? ????? ????? ???? ???? ??? ?? ??????? ?????? ?????? ?? ?????? ?? ??? HCl."
antimonite,Antimonite,??????????,Mineral,3-3.5,Metallic,pale silvery with gray,perfect,uneven ,gray ,,,"??? ???? ????????????? ?????? 3-3.5? ?????? ????? ????? ?????? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
copper,Copper,????,Mineral,2.5-3,Metallic,copper-red,none,Hackly,copper red,,,"??? ???? ??????? ?????? 2.5-3? ?????? ????? ????? ???? ?????? ??? ?? ??????? ?????? ?????? ?? ?????? ?? ??? HCl."
sulfur,Sulfur,?????,Mineral,1.5-2.2,waxy,white,imperfect,uneven to conchoidal,yellow,,,"??? ???? ???????? ?????? 1.5-2.2? ?????? ????? ????? ????? ???? ?????? ??? ???? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
hematite,Hematite,???????,Mineral,5.0-6.0,Metallic,Red,none,uneven to sub-conchoidal,brown,,,"??? ???? ?????????? ?????? 5.0-6.0? ?????? ????? ????? ????? ??? ?? ??????? ?????? ??? ????? ??? ??? ?????? ?? ?????? ?? ??? HCl."
chalcedony,Chalcedony,?????????,Mineral,6.5-7,,,,,"white,blue,red,green,brown,black",,,
cassiterite,Cassiterite,????????,Mineral,6.0-7.1,greasy, white -gray-brownish,poor,uneven to sub-conchoidal,brown to black,,,"??? ???? ??????????? ?????? 6.0-7.1? ?????? ????? ????? ???? ??? ???? ??????? ????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
quartz,Quartz,??????,Mineral,7,vitreous,white,none,conchoidal,"white,purple,yellow",,,"??? ???? ????????? ?????? 7? ?????? ?????? ????? ????? ??? ?? ??????? ?????? ?????? ?? ?????? ?? ??? HCl."
oligoclase,Oligoclase,??????????,Mineral,6.0-6.5,vitreous,white,perfect,uneven to conchoidal,"gray,white,greenish,yellowish,brown",,,"??? ???? ????????????? ?????? 6.0-6.5? ?????? ?????? ????? ????? ???? ?????? ???? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
microcline,Microcline,??????????,Mineral,,,,,,"gray,white,yellowish,reddish,pink",,,
bournonite,Bournonite,?????????,Mineral,2.5-3,Metallic,gray- black,imperfect,uneven to sub-conchoidal,steel gray to black,,,"??? ???? ???????????? ?????? 2.5-3? ?????? ????? ????? ????? ??? ????? ??????? ??? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
pyrargyrite,Pyrargyrite,??????????,Mineral,2.5,sub-metallic,dark red,distinct rhombohedral,uneven to conchoidal,dark red to black,,,"??? ???? ????????????? ?????? 2.5? ?????? ??? ????? ????? ???? ????? ???? ?????? ???? ???? ????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
marcasite,Marcasite,?????????,Mineral,6-6.5,Metallic,greenish-black,distinct ,uneven,brassy yellow,,,"??? ???? ?????????? ?????? 6-6.5? ?????? ????? ????? ???? ????? ???? ?????? ????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
