🪨  Geology AI Training Dataset — Rocks & Minerals,,,,,,,,,,,,,,,,
كل صف = عينة واحدة  |  ● أحمر = حقل مطلوب  |  ● أخضر = حقل اختياري,,,,,,,,,,,,,,,,
📋 هوية العينة,,,,,👁 الخصائص البصرية,,,,,⚙ الخصائص الفيزيائية,,,,🌍 الجيولوجيا,,🤖 بيانات التدريب
sample_id,name_arabic,name_english,name_scientific,category,primary_color,luster,transparency,texture,crystal_system,hardness_mohs,cleavage,fracture,specific_gravity,common_locations,crystal_habit,description_for_ai
معرف فريد لكل عينة,الاسم بالعربي,الاسم بالإنجليزي,الاسم العلمي / الصيغة الكيميائية,mineral / igneous / sedimentary / metamorphic,اللون الرئيسي,vitreous / metallic / pearly / dull / resinous,transparent / translucent / opaque,glassy / fine-grained / coarse-grained / foliated,hexagonal / cubic / monoclinic / ...,1 - 10 (مقياس موس),none / perfect / imperfect / poor,conchoidal / irregular / fibrous,الكثافة النوعية (رقم),أين توجد هذه الصخرة/المعدن عادةً؟,prismatic / massive / platy / fibrous,الوصف الكامل — هذا ما سيقوله النموذج للمستخدم
ROCK_001,السليت ,Slate,—,metamorphic,black / dark gray ,dull / pearly on cleavage,opaque,"Very fine-grained, foliated",—,3-4,perfect (slaty),irregular,2.65-2.8,"Mountain ranges, regional metamorphic belts",massive / platy,هذه صخرة السليت، وهي صخرة متحولة ناعمة الحبيبات تتميز بانفصامها الصفائحي الممتاز الذي يجعلها تنشق بسهولة إلى ألواح رفيعة. لونها أسود أو رمادي داكن أحياناً أخضر. تتشكل من الطين والصخور الرسوبية الدقيقة تحت ضغط منخفض وحرارة منخفضة.
ROCK_002,الكوارتزيت ,Quartzite,—,metamorphic,white / gray / pink / buff,vitreous / sugary,translucent to opaque,"medium-grained, crystalline, interlocking",—,6-7,none,conchoidal / irregular,2.6–2.8,"Contact aureoles near igneous intrusions, mountain belts",massive,هذا الكوارتزيت (الميتاكوارتزيت)، صخرة متحولة تتكون من أكثر من 90% كوارتز. تتميز بملمسها السكري المميز ولونها الأبيض أو الرمادي. تتشكل من الحجر الرملي الرملي عند تعرضه للحرارة العالية بالقرب من الاندساسات النارية، مما يجعلها من أصلب الصخور.
ROCK_003,رخام ضبعة,Dabbh Marble,—,metamorphic,,,,,—,—,,,,,,
ROCK_004,الرخام,Marble,CaCO₃ / CaMg(CO₃)₂,metamorphic,white / gray / pink / green / blue-veined,vitreous / crystalline,translucent to opaque,"fine to coarse-grained, crystalline, interlocking calcite",—,3-4,perfect (3 directions),irregular / conchoidal,2.86-2.87,"Contact aureoles around igneous intrusions, mountain belts worldwide",massive / granular,هذا الرخام، صخرة متحولة تتكون أساساً من بلورات الكالسيت المتشابكة. يتميز بلونه الأبيض الناصع أو بعروقه الملونة الجميلة. يتشكل من إعادة تبلور الحجر الجيري تحت تأثير الحرارة العالية. يتفاعل مع حمض الهيدروكلوريك المخفف ويُستخدم في الفن والبناء.
ROCK_005,النايس,Gneiss,—,metamorphic,gray / pink / white with dark bands,dull ,opaque,"coarse-grained, foliated, banded (alternating light and dark bands)",—,—,poor,irregular,2.65-2.9,"Mountain ranges, continental shields, deep crustal exposures",massive / banded,هذا النايس، صخرة متحولة خشنة الحبيبات تتميز بتبادل الأحزمة الفاتحة والداكنة. تحتوي على الكوارتز والفلسبار والميكا والهورنبلند. تتشكل تحت ضغط وحرارة عاليين جداً في أعماق القشرة الأرضية وتُعدّ من أكثر الصخور المتحولة انتشاراً.
ROCK_006,شيست الكلوريت,Chlorite Schist,—,metamorphic,green / dark green / gray-green,silky / pearly,opaque,"fine to medium-grained, well-foliated, schistose",—,3.5-4,perfect (schistose),irregular,2.5–2.9,"Low-grade regional metamorphic belts, mountain ranges",platy / foliated,هذا شيست الكلوريت، صخرة متحولة ذات درجة منخفضة إلى متوسطة تتميز بلونها الأخضر المميز الناتج عن معدن الكلوريت. ملمسها حريري لامع على أسطح الانفصام. تتشكل من الصخور الرسوبية أو البركانية تحت ضغط معتدل وحرارة منخفضة.
ROCK_007,شيست الميكا,Mica Schist,—,metamorphic,silver / gray / brown / golden,vitreous / silky / sparkly,opaque,"medium-grained, well-foliated, schistose, glittery",—,3.5-4,perfect (schistose),irregular,2.5-2.9,Regional metamorphic mountain belts worldwide,platy / foliated,هذا شيست الميكا، صخرة متحولة متوسطة الحبيبات تتميز بوفرة معادن الميكا (موسكوفيت أو بيوتيت) التي تعطيها بريقاً فضياً أو ذهبياً مميزاً. تتشكل تحت ضغط معتدل وحرارة منخفضة إلى متوسطة من الصخور الطينية الرسوبية.
ROCK_008,الشيست الأزرق (بلوشيست),Blue Schist,—,metamorphic,blue / blue-gray / dark blue,vitreous / dull,opaque,"fine to medium-grained, foliated, schistose",—,3.5-4,perfect (schistose),irregular,3.0–3.2,"Subduction zone terranes, convergent plate margins",platy / foliated,هذا الشيست الأزرق (البلوشيست)، صخرة متحولة نادرة تتميز بلونها الأزرق الفريد الناتج عن معدن الغلوكوفان. تتشكل في مناطق الاندساس تحت ضغط عالٍ جداً وحرارة منخفضة نسبياً، مما يجعلها مؤشراً جيولوجياً مهماً على حدود الصفائح التكتونية.
ROCK_009,الفيليت,Phyllite,—,metamorphic,pale gray / grayish-green / silvery,silky / waxy sheen,opaque,"fine to medium-grained, foliated, wavy foliation",—,1-2,perfect (slaty to schistose),irregular,2.7,"Mountain ranges, low to moderate grade metamorphic belts",platy / foliated,هذا الفيليت، صخرة متحولة تقع في درجة تحول بين السليت والشيست. يتميز بلمعانه الحريري على أسطح الانفصام الناتج عن وفرة الميكا والكلوريت. لونه رمادي فاتح أو أخضر رمادي. يتشكل من الصخور الطينية تحت ضغط منخفض إلى متوسط.
ROCK_010,شيست الغارنيت,Garnet Schist,—,metamorphic,dark gray / brown-gray with red garnets,vitreous / silky,opaque,"medium to coarse-grained, well-foliated, with garnet porphyroblasts",—,2.5 (matrix)/ 7(garnet),perfect (schistose),irregular,2.8–3.2,"Medium to high-grade regional metamorphic belts, mountain cores",platy / foliated,هذا شيست الغارنيت، صخرة متحولة تتميز ببلورات الغارنيت الحمراء أو البنية المميزة المنتشرة في مصفوفة من الميكا. يتشكل في ظروف تحول متوسطة إلى عالية. الغارنيت هو مؤشر جيولوجي مهم لتحديد درجة الحرارة والضغط اللذين تشكلت فيها الصخرة.
ROCK_011,حجر رملي أركوزي,Arkosic Sandstone,—,sedimentary,pinkish / gray / light brown,dull,opaque,"medium to coarse-grained, poorly to well-sorted, angular grains",—,6-7,none,irregular,—,"Marine, freshwater, and continental deposits; derived from granite disintegration",massive / bedded,هذا الحجر الرملي الأركوزي، صخرة رسوبية تحتوي على نسبة عالية من الفلسبار (أكثر من 25%) إلى جانب الكوارتز. لونه وردي أو رمادي فاتح. يتشكل بالقرب من مصادر الغرانيت حيث يُرسّب الفلسبار قبل أن يتحلل كيميائياً، مما يدل على بيئة ترسيب سريعة.
ROCK_012,الحجر الطيني (سيلتستون),Siltstone,—,sedimentary,gray / brown / dark gray,dull,opaque,"fine-grained, laminated, smooth",—,6-7,poor,irregular,2.54-2.73,"Marine, freshwater, and deltaic environments",massive / laminated,هذا الحجر الطيني (السيلتستون)، صخرة رسوبية ناعمة الحبيبات تحتوي على حبيبات السيلت الصغيرة جداً. أكثر خشونة من الطين الصخري عند لمسه. يتميز بطبقاته الرقيقة المتوازية وغالباً ما يحتوي على أحافير. يتشكل في بيئات هادئة كالمصبّات والبحيرات وقيعان البحار.
ROCK_013,الكلايستون (الصخر الطيني),Claystone,—,sedimentary,gray / brown / dark gray / reddish,dull / earthy,opaque,"very fine-grained, massive, smooth to touch",—,—,none to poor,irregular / subconchoidal,2.0–2.6,"Marine, freshwater, and continental environments",massive,هذا الكلايستون أو الصخر الطيني، صخرة رسوبية ناعمة جداً تتكون أساساً من معادن الطين والكوارتز والميكا. أنعم ملمساً من السيلتستون وغير متقشر. يتشكل من ترسب الطين في بيئات هادئة جداً كقيعان البحار العميقة والمستنقعات. يمتص الماء ويصبح لدناً.
ROCK_014,الكوارتز أرينيت (الحجر الرملي الكوارتزي),Qz Arenite (Orthoquartzite),—,sedimentary,white / gray / pink / buff,vitreous / earthy,translucent to opaque,"clastic, medium-grained, well-sorted, crystalline appearance, quartz-cemented",—,6-7,none,irregular / conchoidal,2.6–2.65,"Mature marine and freshwater environments; beaches, shallow seas",massive / bedded,هذا الكوارتز أرينيت أو الأورثوكوارتزيت، حجر رملي ناضج يحتوي على أكثر من 95% كوارتز. يتميز بمظهره السكري وبريقه الزجاجي الخفيف. تشكّل عبر عمليات طويلة من التجوية والتآكل التي أزالت كل المعادن الأقل صلابة. يُعدّ من أنقى الحجارة الرملية.
ROCK_015,الحجر الرملي,Sandstone,—,sedimentary,tan / brown / red / gray / yellow,dull / gritty,opaque,"medium-grained, variable sorting, granular, gritty texture",—,6-7,none,irregular,2.2–2.8,"Continental, marine, and aeolian environments worldwide",massive / bedded / cross-bedded,هذا الحجر الرملي، صخرة رسوبية تتكون من حبيبات الرمل المتماسكة بأسمنت من السيليكا أو الكالسيت أو أكاسيد الحديد. يتميز بملمسه الخشن الحبيبي. يتشكل في بيئات متنوعة كالشواطئ والصحاري والأنهار ويحتوي أحياناً على أحافير.
ROCK_016,الكونغلوميرات (الحجر المدوّر),Conglomerate,—,sedimentary,mixed / gray / brown / tan,dull / gritty,opaque,"very coarse-grained, poorly sorted, rounded to subrounded fragments in finer matrix",—,2-3,none,irregular,2.88,"High-energy environments: beaches, rivers, alluvial fans",massive,هذا الكونغلوميرات، صخرة رسوبية خشنة جداً تتكون من حصى وأحجار مستديرة أو شبه مستديرة مدمجة في مصفوفة رملية أو طينية. استدارة الحصى دليل على نقلها لمسافات طويلة بالماء. تتشكل في بيئات عالية الطاقة كالأنهار والشواطئ والمراوح الفيضية.
ROCK_017,البريشيا (الحجر الزاوي),Breccia,—,sedimentary,mixed / gray / brown / yellowish matrix,dull,opaque,"very coarse-grained, angular fragments in fine to medium matrix",—,7,none,irregular,2.87,"Talus slopes, fault zones, transitional continental environments",massive,هذه البريشيا، صخرة رسوبية تشبه الكونغلوميرات لكنها تتميز بحوافها الزاوية الحادة للشظايا الصخرية. الحدة الزاوية تدل على أن الشظايا لم تُنقل لمسافات بعيدة. تتشكل في مناطق التفتت الصخري عند أسفل المنحدرات أو على طول الفوالق.
ROCK_018,سيليمانيت (معدن),Sillimanite,Al₂SiO₅,mineral,white / gray / pale brown / colorless,vitreous / silky (fibrous variety),translucent to opaque,"fibrous, prismatic, or massive; often needle-like crystals",orthorhombic,6.5-7.5,perfect (one direction),irregular,3.24,"High-grade metamorphic rocks: schists, gneisses, and granulites",acicular / fibrous / prismatic,هذا معدن السيليمانيت، معدن أُلومينوسيليكاتي يتشكل في الصخور المتحولة عالية الدرجة. يظهر غالباً على شكل إبر أو خيوط دقيقة بيضاء أو رمادية. هو أحد ثلاثة معادن متعددة الأشكال مع الكيانيت والأنداليوسيت. وجوده يدل على ظروف تحول بدرجة حرارة وضغط عاليين.
ROCK_019,الفتات البركاني,pyroclasts,—,Igneous (Extrusive),light gray / dark gray / black /reddish brown / brown,dull,opaque,fragmental / pyroclastic,—,2-6,none,irregular,0.5-3,"Vash fall layers  volcanic arcs (e.g. Jordan volcanic fields like Harrat)olcanic vents, mountain slopes",fragments,"هذه الفتات البركاني هي مواد نارية تتكون من شظايا صخرية
 وقذف بركاني ناتج عن ثورات بركانية انفجارية.
 تتميز بأحجام وأشكال غير منتظمة ولون يتراوح بين الرمادي والأسود والأحمر البركاني.
 تتشكل أثناء التبريد السريع للمواد المقذوفة في الهواء أو على سطح الأرض."
ROCK_020,الأوبسيديان,Obsidian,SiO2 ,Igneous (Extrusive),Black,Vitreous,Translucent,Glassy,Amorphous,5-5.5,none,Conchoidal,2.4-2.5,"Margins of lava flows, 
rapid cooling zones
",Massive,"زجاج بركاني طبيعي يتكون نتيجة التبريد السريع
 جداً للحمم البركانية الغنية بالسيليكا، مما يمنع
 تكون البلورات ويمنحه ملمساً زجاجياً ناعماً.
"
ROCK_021,الريوليت,Rhyolite,—,Igneous (Extrusive),"Pink, Grey, White",Dull,Opaque,Fine-grained,—,6-7,none,irregular,2.4-2.6,"Volcanic domes, thick 
continental lava flows",Massive / Porphyritic,"صخر بركاني حامضي غني بالسيليكا، يعتبر المكافئ البركاني للجرانيت
ويتميز بلونه الفاتح ونسيجه الدقيق الذي قد يحتوي على بلورات واضحة أحياناً.

"
ROCK_022,البيجماتيت,Pegmatite,—,Igneous (Intrusive),"White, Pink, Grey",Vitreous,Transparent to Opaque,Very coarse-grained,—,6-7,Perfect to Poor,Irregular,2.6-2.8,"Margins of batholiths, dikes
metamorphic rock veins",Massive / Large crystals,"صخر ناري جوفي يتميز ببلوراته الضخمة جداً 
التي قد يتجاوز طولها عدة سنتيمترات، ويتكون
 في المراحل الأخيرة من تبلور الماجما."
ROCK_023,جرانيت راباكيفي,Rapakivi Granite,—,Igneous (Intrusive),"Reddish-brown, Pink",Vitreous to Dull,Opaque,"Coarse-grained
(Porphyritic)",—,6-7,none,irregular,2.6-2.7,"Finland, Brazil, Canada",Massive / Ovoids,"نوع فريد من الجرانيت يتميز بوجود بلورات 
كبيرة بيضاوية من الفلسبار البوتاسي محاطة 
بغلاف من البلاجيوكليز الصودي."
